timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1716402046,2,1964,3300,8349,3560,4255,4982,10688,7362,1913,,
1716402048,0,3609,3574,13135,3435,4083,4771,10222,7320,1837,,
1716402050,4,2520,998,9462,3213,3766,4399,9283,7287,1681,,
1716402052,5,3909,4110,11329,3241,3802,4398,9310,7226,1729,,
1716402054,1,1885,395,7739,3411,3953,4591,9638,7196,1771,,
1716402056,0,1221,1891,7421,4004,4644,5408,11430,7188,2071,,
1716402058,1,-118,1104,5711,4301,4973,5799,12242,7178,2208,,
1716402060,1,1527,1643,6146,4416,5130,5978,12654,7197,2287,,
1716402062,5,289,-1000,6706,4468,5141,6007,12704,7147,2267,,
1716402063,3,1253,-307,7396,4248,4895,5725,12127,7156,2156,,
1716402065,3,-233,192,5874,3960,4582,5387,11406,7215,2003,,
1716402067,4,256,614,6732,3591,4169,4913,10352,7272,1818,,
1716402069,3,1609,-577,8450,3503,4100,4837,10159,7351,1793,,
1716402071,4,4916,1767,10811,3702,4322,5070,10693,7284,1909,,
1716402073,4,2694,-445,10676,3862,4510,5285,11190,7263,1996,,
1716402075,1,-506,1188,8409,4041,4685,5474,11636,7179,2076,,
1716402077,2,-718,1521,7709,3924,4544,5331,11320,7197,1996,,
1716402079,3,-2435,1272,9232,3963,4578,5387,11389,7214,1996,,
1716402081,11,-848,2090,10577,4263,4953,5824,12338,7243,2170,,
1716402083,2,-815,1656,9553,4552,5271,6169,13051,7199,2326,,
1716402085,4,-256,1745,7454,4548,5292,6176,13072,7217,2355,,
1716402087,4,1228,1509,7608,4599,5370,6290,13278,7273,2379,,
1716402089,4,4198,1857,9058,4559,5323,6204,13121,7237,2380,,
1716402091,3,452,1110,10994,4800,5497,6386,13466,7094,2443,,
1716402093,2,-986,-82,5473,4725,5394,6259,13211,7061,2398,,
1716402095,2,3533,-158,11529,4547,5230,6069,12856,7101,2336,,
1716402097,1,-271,685,8538,4326,4958,5752,12211,7065,2211,,
1716402099,2,875,-1354,6699,4161,4776,5483,11743,6985,2174,,
1716402101,3,1152,-611,10959,3960,4567,5277,11253,7069,2060,,
1716402103,3,-478,-1314,6797,3853,4429,5145,10879,7109,1974,,
1716402105,2,537,-2849,10276,3450,3980,4644,9736,7195,1762,,
1716402107,2,504,-236,5663,2916,3399,4010,8359,7357,1483,,
1716402109,1,3602,-4229,9183,2569,2971,3518,7200,7405,1280,,
1716402111,3,-576,572,10655,2913,3351,3962,8143,7335,1443,,
1716402113,3,-2559,1606,6329,2850,3263,3860,7943,7298,1399,,
1716402115,1,-6,954,9354,2820,3247,3840,7908,7335,1398,,
1716402117,2,-2894,3492,8065,3039,3489,4106,8457,7284,1515,,
1716402118,1,863,1411,9650,3394,3886,4556,9395,7237,1697,,
1716402120,2,-4676,1668,4676,3776,4252,5008,10252,7169,1819,,
1716402122,6,-2052,1808,8721,4576,5191,6068,12559,7135,2266,,
1716402124,2,-1066,3048,9259,4084,4861,5729,12082,7449,2153,,
1716402126,3,-2177,2967,11018,3930,4701,5558,11734,7495,2076,,
1716402128,4,-4276,-129,12160,4636,5286,6157,12829,7125,2331,,
1716402130,5,-3124,2010,11276,4588,5272,6208,12882,7261,2287,,
1716402132,4,-3984,3129,7810,4331,5006,5896,12231,7307,2179,,
1716402134,3,-2998,2682,5114,4149,4856,5751,12000,7403,2108,,
1716402136,1,-1890,-42,9656,3754,4424,5260,11033,7449,1914,,
1716402138,3,-2762,1574,6401,3415,3967,4747,9874,7419,1678,,
1716402140,2,-1686,-615,6709,3842,4393,5177,10716,7240,1897,,
1716402142,0,-2454,901,7049,4147,4702,5471,11439,7064,2070,,
1716402144,4,-3077,1444,7850,3712,4343,5097,10673,7334,1919,,
1716402146,2,-2805,681,9905,3451,4092,4873,10223,7501,1771,,
1716402148,3,-408,-1246,10684,3064,3661,4416,9296,7605,1551,,
1716402150,2,-1408,113,8618,2875,3413,4109,8643,7554,1446,,
1716402152,3,-863,1478,11200,3319,3893,4654,9774,7438,1660,,
1716402154,6,-2090,1499,9944,3376,3935,4677,9829,7358,1691,,
1716402156,3,1105,-550,9689,3488,4062,4806,10094,7331,1761,,
1716402158,2,2276,243,8609,3941,4483,5262,10862,7191,1945,,
1716402160,2,856,-874,8071,3585,4065,4722,9721,7117,1796,,
1716402162,3,55,-241,7911,3432,3877,4518,9172,7166,1698,,
1716402164,2,-1568,1501,6635,3736,4024,4625,9232,6769,1753,,
1716402166,2,-1295,216,7470,4007,4269,4927,9789,6725,1831,,
1716402168,1,-1412,1553,9899,4493,4807,5571,11155,6759,2051,,
1716402170,2,-968,-815,10398,4916,5318,6136,12447,6773,2306,,
1716402172,4,-601,-2781,9060,4874,5444,6208,13052,6821,2466,,
1716402174,1,-2105,-2179,5040,4649,5240,6142,12743,7093,2265,,
1716402176,4,-717,-115,6702,4500,5103,6054,12510,7223,2162,,
1716402178,5,1077,580,6829,5160,5790,6829,14067,7125,2465,,
1716402179,2,-1699,-295,6414,5202,5889,6936,14348,7165,2529,,
1716402181,3,5458,-110,11259,5438,6205,7324,15205,7221,2667,,
1716402183,4,-103,912,6813,5289,6025,7132,14791,7229,2572,,
1716402185,5,5085,-1222,9505,4591,5365,6420,13464,7423,2278,,
1716402187,4,-1114,312,4895,4833,5634,6724,14049,7409,2402,,
1716402189,26,819,1349,6720,5504,6273,7429,15433,7228,2676,,
1716402191,4,-383,1148,10380,5386,6147,7313,15141,7278,2601,,
1716402193,4,1950,-1305,7215,5510,6314,7509,15563,7302,2681,,
1716402195,4,3149,-47,11088,5209,6049,7241,15076,7414,2556,,
1716402197,4,-297,234,8422,5154,6001,7181,14958,7429,2542,,
1716402199,5,3663,4554,6890,5034,5925,7100,14837,7500,2520,,
1716402201,4,1369,1737,11419,4627,5429,6475,13596,7429,2327,,
1716402203,5,-55,-1291,5794,4316,5097,6111,12849,7496,2171,,
1716402205,4,-503,530,9492,4548,5359,6435,13477,7508,2272,,
1716402207,6,722,-49,5625,5476,6199,7345,15194,7199,2630,,
1716402209,8,2224,5196,9483,5214,6034,7196,14980,7369,2564,,
1716402211,4,-616,2688,9820,4962,5787,6907,14418,7417,2467,,
1716402213,3,1679,282,7942,4965,5836,7020,14649,7518,2461,,
1716402215,4,-1078,2891,9054,4618,5604,6786,14297,7732,2379,,
1716402217,2,485,3377,5556,4660,5586,6726,14124,7633,2381,,
1716402219,3,1864,2376,9967,4406,5372,6349,13596,7557,2401,,
1716402221,4,153,730,5975,4669,5583,6716,14112,7607,2380,,
1716402223,1,-2559,2636,10045,4638,5583,6716,14137,7646,2390,,
1716402225,7,-1243,-132,6901,4587,5403,6465,13537,7488,2306,,
1716402227,4,1831,3333,7432,4717,5529,6636,13862,7480,2338,,
1716402229,0,-618,892,10026,4413,5240,6303,13196,7575,2224,,
1716402231,3,1429,-223,7370,4839,5568,6623,13794,7311,2369,,
1716402233,3,-286,923,9539,5414,6218,7402,15362,7317,2638,,
1716402235,4,1234,-705,4705,5561,6401,7637,15856,7344,2708,,
1716402237,5,2351,1855,10891,5526,6307,7508,15555,7279,2665,,
1716402239,5,-657,1793,6226,5628,6460,7685,15950,7309,2744,,
1716402240,5,3491,-288,10231,5483,6309,7526,15639,7337,2669,,
1716402242,3,432,-651,5735,5406,6317,7528,15731,7418,2705,,
1716402244,4,2242,680,10983,5305,6226,7451,15586,7467,2651,,
1716402246,4,2864,-519,7639,5225,6147,7340,15384,7463,2633,,
1716402248,4,322,182,9064,5275,6146,7319,15303,7390,2631,,
1716402250,5,1988,2273,5864,5387,6233,7379,15410,7313,2688,,
1716402252,1,986,2445,8703,5599,6426,7550,15765,7213,2798,,
1716402254,4,3424,-1726,6956,5715,6576,7721,16171,7214,2872,,
1716402256,6,-1348,-432,9555,5821,6672,7946,16515,7299,2825,,
1716402258,5,3321,271,6309,5885,6835,8076,16937,7311,2966,,
1716402260,5,2790,-2325,11185,5822,6786,8002,16850,7308,2963,,
1716402262,5,816,549,6576,5397,6285,7475,15666,7368,2696,,
1716402264,4,3662,-3080,7681,5234,6120,7262,15279,7367,2645,,
1716402266,5,875,136,9181,5260,6136,7308,15326,7386,2628,,
1716402268,5,2096,-1099,5214,5513,6431,7652,16052,7379,2760,,
1716402270,5,5647,-746,9905,5515,6511,7669,16285,7355,2873,,
1716402272,3,464,1295,8380,5416,6390,7609,16087,7427,2758,,
1716402274,5,873,-2974,6103,5147,6093,7309,15432,7496,2596,,
1716402276,4,1141,-177,9713,5046,6029,7236,15313,7553,2581,,
1716402278,4,3,-1526,7626,4684,5542,6644,14037,7486,2363,,
1716402280,4,2997,-1791,6931,4783,5422,6396,13317,7157,2323,,
1716402282,5,2686,458,11144,5259,6004,7103,14793,7223,2570,,
1716402284,5,-611,465,6014,5622,6344,7488,15521,7145,2707,,
1716402286,4,3282,-1086,8092,5886,6678,7898,16380,7194,2848,,
1716402288,6,-481,-2228,9493,5972,6864,8100,16925,7244,2966,,
1716402290,2,1658,-1166,5299,6022,6920,8189,17104,7260,2973,,
1716402292,6,933,3241,5721,6022,6928,8231,17178,7294,2955,,
1716402294,3,4690,1796,11814,5847,6760,8064,16814,7356,2869,,
1716402296,4,3198,596,10064,5983,6913,8250,17211,7351,2930,,
1716402298,6,-159,1387,3124,5849,6800,8038,16911,7306,2950,,
1716402300,2,1450,-339,7683,5261,6174,7365,15481,7426,2646,,
1716402301,5,-1447,1028,9164,5306,6279,7529,15824,7514,2677,,
1716402303,5,-951,-635,4267,4967,5962,7207,15177,7647,2522,,
1716402305,3,90,922,6389,4698,5713,6927,14592,7755,2422,,
1716402307,5,627,2084,12481,4285,5206,6264,13241,7691,2241,,
1716402309,2,-2225,5118,8010,4255,5164,6203,13173,7649,2229,,
1716402311,4,-820,744,6196,4525,5412,6517,13751,7592,2303,,
1716402313,3,3040,4113,10209,4348,5332,6439,13743,7722,2291,,
1716402315,3,-1385,1985,9720,4500,5500,6656,14137,7735,2348,,
1716402317,3,1053,1463,7536,4561,5556,6729,14277,7721,2363,,
1716402319,4,2163,4911,11121,4609,5547,6704,14170,7646,2352,,
1716402321,2,-289,5459,11386,4707,5640,6826,14409,7629,2377,,
1716402323,3,-353,2483,5527,4805,5784,7029,14842,7680,2424,,
1716402325,3,2735,4184,11519,4714,5712,6946,14692,7721,2401,,
1716402327,3,-2223,297,6071,4500,5563,6789,14455,7842,2350,,
1716402329,4,1015,5956,6333,3984,4942,6007,12891,7802,2110,,
1716402331,3,-71,4330,9584,4176,4997,5998,12677,7571,2141,,
1716402333,5,-62,1912,4066,4737,5717,6919,14598,7682,2421,,
1716402335,2,4701,-1628,12062,4387,5418,6590,14025,7822,2304,,
1716402337,3,-567,788,8823,3517,4340,5279,11310,7779,1844,,
1716402339,1,385,850,10053,3054,3698,4480,9420,7730,1566,,
1716402341,1,4310,2796,6104,2888,3509,4172,8807,7638,1547,,
1716402343,1,-2518,5018,5469,3988,4734,5690,11995,7533,2012,,
1716402345,5,-607,3552,13350,4027,4981,6042,12902,7800,2132,,
1716402347,3,-2556,4504,7101,4157,5147,6234,13360,7780,2211,,
1716402349,4,814,814,7628,4302,5305,6396,13704,7731,2295,,
1716402351,3,1700,2560,10918,4565,5603,6755,14405,7724,2417,,
1716402353,3,-3774,1625,6656,4809,5774,6944,14689,7600,2469,,
1716402355,4,1527,1999,7230,4851,5788,6926,14631,7537,2491,,
1716402357,3,-946,3138,10730,4761,5629,6730,14220,7466,2413,,
1716402359,4,-1908,2464,5819,4891,5762,6915,14600,7464,2445,,
1716402361,3,941,-928,9803,4645,5483,6571,13858,7476,2336,,
1716402362,3,-2646,2034,8890,4951,5802,6948,14651,7421,2465,,
1716402364,4,-1335,1082,5801,5197,6049,7241,15255,7375,2560,,
1716402366,5,584,3755,6407,4893,5800,6958,14678,7510,2473,,
1716402368,4,-779,5254,11919,5093,5947,7117,14983,7400,2524,,
1716402370,3,-2161,1625,6190,5205,5865,6958,14566,7123,2474,,
1716402372,1,774,1412,10604,5875,6739,8019,16752,7276,2860,,
1716402374,7,-1295,113,9486,5241,6165,7434,15794,7448,2588,,
1716402376,4,-646,764,7697,4272,5116,6166,13170,7543,2175,,
1716402378,7,-1469,-292,6062,5229,6141,7338,15667,7367,2624,,
1716402380,2,-828,-162,3831,4863,5846,7092,15049,7636,2457,,
1716402382,4,441,-2474,6902,4652,5562,6694,14203,7558,2369,,
1716402384,3,196,-4184,5649,4691,5581,6722,14210,7546,2366,,
1716402386,6,740,-2771,7736,4699,5652,6831,14397,7657,2395,,
1716402388,5,-1751,-2314,7966,4771,5721,6897,14467,7648,2432,,
1716402390,4,-1086,-2269,4188,4976,5883,7080,14779,7561,2488,,
1716402392,2,2056,-1054,8792,5058,5938,7142,14898,7510,2502,,
1716402394,5,-60,-945,10788,4706,5595,6725,13998,7610,2381,,
1716402396,3,1514,243,7081,5209,5693,6734,13867,6948,2365,,
1716402398,3,1425,-131,6446,5204,5641,6702,13855,6900,2308,,
1716402400,7,1833,-1813,8271,4557,5275,6317,13309,7338,2222,,
1716402402,4,3384,1068,9323,4163,5024,5960,12709,7526,2215,,
1716402404,2,2238,96,7196,3879,4476,5146,10856,7088,2039,,
1716402406,1,3077,-270,5505,2590,2795,3195,6380,6748,1232,,
1716402408,2,2507,468,10370,1797,2201,2740,5534,8207,885,,
1716402410,3,3009,855,6338,2767,3419,4215,8782,8018,1413,,
1716402412,3,2651,-812,10887,3895,4839,5860,12363,7894,2084,,
1716402414,3,848,-2192,5932,4449,5376,6400,13388,7653,2356,,
1716402416,2,5522,-3845,9828,4388,5136,6072,12562,7435,2237,,
1716402418,3,2150,-642,7936,3266,3951,4861,10045,7901,1617,,
1716402419,1,1560,-4483,5719,3764,4925,6118,12967,8354,2073,,
1716402421,5,2787,-3068,10320,4770,5915,7207,15111,7948,2512,,
1716402423,4,2492,-911,8807,4694,5778,7032,14698,7907,2449,,
1716402425,6,876,-2354,7481,5421,6580,7957,16633,7771,2801,,
1716402427,6,4038,-2068,6983,5555,6634,8049,16734,7699,2776,,
1716402429,3,4246,-2353,10326,5447,6524,7928,16477,7731,2726,,
1716402431,2,1704,-118,7243,5286,6323,7716,15989,7759,2616,,
1716402433,4,1841,-2862,4953,4996,5981,7265,15047,7744,2500,,
1716402435,5,3246,-1002,9799,4774,5694,6912,14250,7739,2378,,
1716402437,5,120,-1439,5964,4505,5277,6386,13095,7614,2192,,
1716402439,5,5779,-3845,9074,3969,4687,5682,11665,7679,1950,,
1716402441,7,2138,-1466,8838,3859,4749,5831,12123,7982,1975,,
1716402443,11,2599,-2832,6072,4259,5497,6804,14310,8294,2313,,
1716402445,5,3346,-758,9971,5037,6218,7624,15904,7977,2598,,
1716402447,3,2008,-868,5932,5043,6252,7665,16021,7996,2620,,
1716402449,9,5075,-1301,5122,5142,6334,7763,16194,7959,2646,,
1716402451,0,3124,-1390,9119,5214,6370,7812,16244,7921,2643,,
1716402453,4,3149,-1037,6277,5124,6259,7666,15939,7914,2604,,
1716402455,6,4012,-818,10171,5451,6549,7985,16542,7789,2722,,
1716402457,3,2024,-2253,6303,5342,6423,7830,16217,7795,2672,,
1716402459,5,5377,-989,4960,5547,6568,7955,16430,7662,2743,,
1716402461,4,2540,78,8838,5266,6289,7641,15774,7746,2624,,
1716402463,5,2761,55,7199,5828,6734,8078,16580,7458,2824,,
1716402465,3,3253,-1970,9016,5382,6181,7412,15112,7442,2583,,
1716402467,4,2510,-1634,8530,5135,5812,6952,14062,7352,2418,,
1716402469,6,2468,-2074,7306,4628,5318,6448,13124,7517,2171,,
1716402471,3,4432,-1862,10542,3842,4353,5229,10624,7364,1796,,
1716402473,0,2806,1145,5645,3131,3809,4594,9436,7878,1633,,
1716402475,3,4549,-2745,7181,3894,5019,6177,13038,8233,2136,,
1716402476,5,3909,-869,6950,4458,5682,6962,14678,8140,2425,,
1716402478,5,2514,-675,4531,4868,6049,7364,15489,7939,2577,,
1716402480,5,4885,-1004,4148,5059,6223,7581,15906,7884,2631,,
1716402482,6,4548,-881,10260,5209,6392,7835,16359,7926,2663,,
1716402484,3,3230,127,8261,5023,6252,7676,16100,8010,2619,,
1716402486,6,1505,1671,5571,5695,6865,8370,17433,7783,2860,,
1716402488,9,2124,-797,6548,5629,6868,8278,17502,7728,2953,,
1716402490,6,3357,-3282,8488,5799,7019,8425,17784,7659,3029,,
1716402492,5,4201,3671,8987,5947,7215,8430,18151,7439,3287,,
1716402494,4,1712,1486,8001,6166,7349,8544,18223,7333,3344,,
1716402496,4,629,-349,6149,6262,7370,8572,18114,7288,3325,,
1716402498,3,3327,-91,7307,6029,6960,8189,16998,7290,3034,,
1716402500,9,3323,1504,11030,6073,6915,8128,16784,7204,2993,,
1716402502,4,1949,2836,8109,6053,6877,8098,16751,7191,2962,,
1716402504,5,3043,1657,6140,5911,6798,8061,16740,7303,2910,,
1716402506,4,2351,-543,8343,5793,6785,8093,16906,7441,2905,,
1716402508,4,2955,425,9100,5855,6935,8254,17341,7483,3003,,
1716402510,8,1233,584,6755,6048,7194,8506,17955,7456,3165,,
1716402512,3,4375,-1537,6833,5872,7026,8390,17599,7582,3042,,
1716402514,6,4448,868,9586,5775,6923,8235,17315,7564,3024,,
1716402516,4,2189,3148,4502,5714,6821,8083,16996,7513,2994,,
1716402518,8,1916,-1261,5623,5450,6402,7565,15813,7409,2798,,
