timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1712471014,235,-1701,-1009,4637,65535,65535,65535,65535,0,34196,,
1712471016,227,-2681,441,10021,65535,65535,65535,65535,0,34196,,
1712471018,222,-2349,1382,5879,65535,65535,65535,65535,0,34196,,
1712471020,229,50,-4105,6162,65535,65535,65535,65535,0,34196,,
1712471022,236,-2524,753,9391,65535,65535,65535,65535,0,34196,,
1712471024,231,-1712,-353,6440,65535,65535,65535,65535,0,34196,,
1712471026,238,-3395,-1301,9610,65535,65535,65535,65535,0,34196,,
1712471028,203,-1941,-9,7975,65535,65535,65535,65535,0,34196,,
1712471270,312,-867,5563,6361,65535,65535,65535,65535,0,34196,,
1712471272,354,-679,5139,6468,65535,65535,65535,65535,0,34196,,
1712471274,281,869,-1019,8134,65535,65535,65535,65535,0,34196,,
1712471276,290,-2007,1325,8159,65535,65535,65535,65535,0,34196,,
1712471278,312,-2391,3710,7188,65535,65535,65535,65535,0,34196,,
1712471280,279,99,1309,8291,65535,65535,65535,65535,0,34196,,
1712471282,286,43,1706,8369,65535,65535,65535,65535,0,34196,,
1712471284,281,-1448,1825,7922,65535,65535,65535,65535,0,34196,,
1712471286,281,-236,1430,8183,65535,65535,65535,65535,0,34196,,
1712471288,282,-778,1643,8363,65535,65535,65535,65535,0,34196,,
1712471290,290,-862,2200,7599,65535,65535,65535,65535,0,34196,,
1712471292,301,264,3085,7653,65535,65535,65535,65535,0,34196,,
1712471294,316,-870,2406,7826,65535,65535,65535,65535,0,34196,,
1712471296,311,-495,2604,8359,65535,65535,65535,65535,0,34196,,
1712471298,312,-971,3250,7087,65535,65535,65535,65535,0,34196,,
1712471300,334,-215,3466,8441,65535,65535,65535,65535,0,34196,,
1712471302,219,-851,-640,7995,65535,65535,65535,65535,0,34196,,
1712471304,166,-2258,-136,8030,61742,54477,62330,65535,0,20319,,
1712471306,258,-2251,3976,6591,65535,65535,65535,65535,0,34196,,
1712471308,257,-2187,2229,7649,65535,65535,65535,65535,0,34196,,
1712471310,256,-1760,3182,7732,65535,65535,65535,65535,0,34196,,
1712471312,267,-1749,4072,7083,65535,65535,65535,65535,0,34196,,
1712471314,262,-2068,4362,6862,65535,65535,65535,65535,0,34196,,
1712471316,260,-1420,3059,7764,65535,65535,65535,65535,0,34196,,
1712471318,265,-1235,2711,8643,65535,65535,65535,65535,0,34196,,
1712471320,270,-1418,3556,7340,65535,65535,65535,65535,0,34196,,
1712471322,278,-1756,3442,7285,65535,65535,65535,65535,0,34196,,
1712471324,282,-2046,3431,7414,65535,65535,65535,65535,0,34196,,
1712471326,295,-1744,2766,7831,65535,65535,65535,65535,0,34196,,
1712471328,289,-957,1678,8236,65535,65535,65535,65535,0,34196,,
1712471330,283,-1518,2808,7413,65535,65535,65535,65535,0,34196,,
1712471332,305,778,1960,8004,65535,65535,65535,65535,0,34196,,
1712471334,298,-136,2896,7922,65535,65535,65535,65535,0,34196,,
1712471336,307,-521,2729,7922,65535,65535,65535,65535,0,34196,,
1712471338,309,-523,2198,8171,65535,65535,65535,65535,0,34196,,
1712471340,311,-665,3147,7853,65535,65535,65535,65535,0,34196,,
1712471342,321,-659,3583,7681,65535,65535,65535,65535,0,34196,,
1712471344,288,-635,-991,8524,65535,65535,65535,65535,0,34196,,
1712471346,284,-1629,1272,8271,65535,65535,65535,65535,0,34196,,
1712471348,324,-2677,4415,6662,65535,65535,65535,65535,0,34196,,
1712471350,256,-1224,437,8292,65535,65535,65535,65535,0,34196,,
1712471352,268,-1581,2084,7667,65535,65535,65535,65535,0,34196,,
1712471354,290,-666,3322,7451,65535,65535,65535,65535,0,34196,,
1712471356,304,-1687,2719,7739,65535,65535,65535,65535,0,34196,,
1712471358,308,-1877,3995,7248,65535,65535,65535,65535,0,34196,,
1712471360,311,-965,479,8925,65535,65535,65535,65535,0,34196,,
1712471362,261,-2680,2092,7569,65535,65535,65535,65535,0,34196,,
1712471364,284,-1003,2662,7578,65535,65535,65535,65535,0,34196,,
1712471366,302,-290,3198,7741,65535,65535,65535,65535,0,34196,,
1712471368,305,-799,1734,8291,65535,65535,65535,65535,0,34196,,
1712471370,327,-1596,3209,7568,65535,65535,65535,65535,0,34196,,
1712471372,268,-1087,1120,8054,65535,65535,65535,65535,0,34196,,
1712471374,297,-49,2867,7895,65535,65535,65535,65535,0,34196,,
1712471376,310,-290,2525,8018,65535,65535,65535,65535,0,34196,,
1712471378,284,119,1236,8250,65535,65535,65535,65535,0,34196,,
1712471380,301,-449,2116,7922,65535,65535,65535,65535,0,34196,,
1712471382,319,-53,1503,7948,65535,65535,65535,65535,0,34196,,
1712471384,284,-641,1218,8153,65535,65535,65535,65535,0,34196,,
1712471386,315,-1383,1991,7897,65535,65535,65535,65535,0,34196,,
1712471388,290,-1435,1498,8278,65535,65535,65535,65535,0,34196,,
1712471390,305,-1069,1155,8056,65535,65535,65535,65535,0,34196,,
1712471392,299,-1984,1713,7889,65535,65535,65535,65535,0,34196,,
1712471394,306,-2234,2239,7515,65535,65535,65535,65535,0,34196,,
1712471396,301,-2434,3320,7197,65535,65535,65535,65535,0,34196,,
1712471398,310,-2331,2831,7446,65535,65535,65535,65535,0,34196,,
1712471400,294,-1499,1703,8072,65535,65535,65535,65535,0,34196,,
1712471402,293,-1642,2123,7953,65535,65535,65535,65535,0,34196,,
1712471404,296,-1660,1792,8056,65535,65535,65535,65535,0,34196,,
1712471406,281,-1598,1224,8011,65535,65535,65535,65535,0,34196,,
1712471408,280,-1667,1219,8054,65535,65535,65535,65535,0,34196,,
1712471410,340,-1952,4643,6980,65535,65535,65535,65535,0,34196,,
1712471412,305,-2330,2857,7594,65535,65535,65535,65535,0,34196,,
1712471414,283,-2579,3353,7035,65535,65535,65535,65535,0,34196,,
1712471416,258,-1032,-27,8366,65535,65535,65535,65535,0,34196,,
