timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712473338,4,86,3499,7420,7142,6330,5932,12172,3893,3330,,
1712473340,0,803,3533,7476,6970,6167,5745,11975,3873,3266,,
1712473342,2,-1065,2409,7756,6898,5995,5633,11579,3793,3099,,
1712470690,23,-3424,2153,6975,41523,32964,34270,60668,3620,13465,,
1712470692,20,-2040,2472,7683,41006,32369,34339,60663,3747,12644,,
1712470694,27,-1954,3784,7489,60524,47314,48737,65535,0,19358,,
1712470696,23,-942,1714,7401,37800,28938,30854,55573,3624,10820,,
1712470698,23,-1867,3351,6794,40763,31148,32906,59054,3526,11844,,
1712470700,19,-1974,2339,8050,35441,26932,28491,51606,3526,10149,,
1712470702,21,-2561,2872,6876,44940,34116,35464,63329,3334,13300,,
1712470704,19,-2002,4826,6112,41480,31572,32793,57248,3274,12363,,
1712470705,20,-1823,3374,7710,43487,32887,34167,60651,3285,12782,,
1712470707,19,-2528,4043,7116,48539,36703,37878,65535,0,14448,,
1712470709,28,-1662,5345,5941,65535,56039,55521,65535,0,26537,,
1712470711,29,-1171,4619,7887,65535,56937,55619,65535,0,27882,,
1712470713,29,-2161,3952,7447,65535,53780,54439,65535,0,23763,,
1712470715,30,-2434,4905,8338,65535,57825,56237,65535,0,28832,,
1712470717,34,-730,4015,6491,65535,55455,55097,65535,0,25925,,
1712470719,30,-113,3911,6837,65535,55978,55314,65535,0,26592,,
1712470721,31,-65,4520,7465,65535,56968,55205,65535,0,28234,,
1712470723,28,601,2818,8244,64704,52481,52572,65535,0,23349,,
1712470725,29,135,4027,7232,62038,48488,50712,65535,0,19274,,
1712470727,25,-77,3152,7865,62253,48640,50302,65535,0,19744,,
1712470729,29,121,3069,7877,62267,48730,50534,65535,0,19712,,
1712470731,28,-2389,1989,8082,59094,46928,47625,65535,0,20027,,
1712470733,29,-6404,2669,9899,6636,7153,8245,16752,6735,3101,,
1712470735,26,-709,2448,7086,53678,41316,42875,65535,0,16404,,
1712470737,26,-1040,4944,6914,65308,53807,53373,65535,0,24660,,
1712470739,30,-1658,4936,6298,65535,55090,54122,65535,0,26063,,
1712470741,29,-77,5111,7125,64096,54940,53389,65535,0,26830,,
1712470743,24,-1865,6580,5898,37362,28541,29927,53849,3470,11014,,
1712470745,25,-1070,4965,6177,62333,52517,52174,65535,0,24467,,
1712470747,20,500,4707,6649,50623,40667,41484,65535,0,17389,,
1712470749,31,504,4314,6829,65535,57605,54272,65535,0,29923,,
1712470751,27,217,4181,6498,65111,56300,53205,65535,0,28782,,
